Month,Line,Day Type,Crew Availability,External Factors,Infrastructure & Equipment,Operating Conditions,Planned ROW Work,Police & Medical
2020-07-01,M,2,0,0,3,0,1,0
2020-07-01,N,1,80,8,76,97,64,41
2020-07-01,N,2,4,2,27,31,14,10
2020-07-01,Q,1,24,4,60,61,16,29
2020-07-01,Q,2,5,1,25,24,9,15
2020-07-01,R,1,46,2,17,34,17,28
2020-07-01,R,2,1,0,7,10,5,5
2020-07-01,S Fkln,1,0,1,0,0,0,0
2020-07-01,S Rock,1,0,10,4,1,7,4
2020-07-01,S Rock,2,0,13,3,5,1,0
2020-08-01,1,1,77,2,30,13,17,30
2020-08-01,1,2,10,0,3,2,5,14
2020-08-01,2,1,107,2,35,45,29,37
2020-08-01,2,2,11,2,24,42,27,27
2020-08-01,3,1,84,4,26,22,26,28
2020-08-01,3,2,4,0,12,53,10,18
2020-08-01,4,1,97,3,32,25,41,35
2020-08-01,4,2,3,2,13,24,20,27
2020-08-01,5,1,72,3,28,39,24,20
2020-08-01,6,1,104,1,50,33,49,48
2020-08-01,6,2,15,0,12,15,15,17
2020-08-01,7,1,44,4,47,5,5,35
2020-08-01,7,2,4,0,10,2,10,8
2020-08-01,A,1,65,60,59,79,45,45
2020-08-01,A,2,20,18,12,14,22,21
2020-08-01,B,1,29,1,28,35,9,19
2020-08-01,B,2,0,0,0,0,0,0
2020-08-01,C,1,22,0,18,15,2,22
2020-08-01,C,2,20,0,6,6,7,12
2020-08-01,D,1,45,3,34,39,43,25
2020-08-01,D,2,13,0,7,3,6,13
2020-08-01,E,1,15,0,22,24,46,17
2020-08-01,E,2,3,1,4,4,18,3
2020-08-01,F,1,34,3,56,33,47,24
2020-08-01,F,2,13,1,12,7,23,9
2020-08-01,G,1,18,1,32,34,22,8
2020-08-01,G,2,0,0,2,26,10,6
2020-08-01,JZ,1,28,2,31,36,23,26
2020-08-01,JZ,2,13,1,14,10,4,12
2020-08-01,L,1,13,2,15,1,27,5
2020-08-01,L,2,1,0,11,0,5,4
2020-08-01,M,1,21,3,23,23,5,11
2020-08-01,M,2,1,0,2,0,3,3
2020-08-01,N,1,63,7,56,78,74,49
2020-08-01,N,2,13,3,21,33,31,12
2020-08-01,Q,1,22,5,69,52,23,23
2020-08-01,Q,2,10,2,25,16,13,12
2020-08-01,R,1,32,1,21,25,23,18
2020-08-01,R,2,12,0,11,5,4,5
2020-08-01,S 42nd,1,1,1,4,1,1,2
2020-08-01,S 42nd,2,1,0,1,0,0,4
2020-08-01,S Fkln,1,0,2,0,0,0,1
2020-08-01,S Fkln,2,0,1,1,0,0,0
2020-08-01,S Rock,1,0,13,3,2,3,3
2020-08-01,S Rock,2,1,11,0,7,1,3
2020-09-01,1,1,84,0,30,19,28,27
2020-09-01,1,2,16,0,9,0,4,14
2020-09-01,2,1,103,3,31,60,60,29
2020-09-01,2,2,18,1,12,34,23,15
2020-09-01,3,1,52,1,21,17,11,20
2020-09-01,3,2,11,1,16,28,18,13
2020-09-01,4,1,79,0,26,15,42,31
2020-09-01,4,2,13,1,11,20,15,19
2020-09-01,5,1,57,2,27,37,26,25
2020-09-01,5,2,2,0,2,5,5,4
2020-09-01,6,1,68,0,40,42,25,58
2020-09-01,6,2,24,1,3,7,5,19
2020-09-01,7,1,47,0,32,6,5,9
2020-09-01,7,2,10,0,6,3,9,3
2020-09-01,A,1,84,47,55,72,55,34
2020-09-01,A,2,14,12,16,35,18,18
2020-09-01,B,1,56,0,36,44,12,16
2020-09-01,C,1,30,0,19,14,1,20
2020-09-01,C,2,7,0,5,9,1,9
2020-09-01,D,1,72,1,44,52,52,26
2020-09-01,D,2,10,1,15,31,10,18
2020-09-01,E,1,48,0,28,56,50,17
2020-09-01,E,2,4,0,6,15,10,8
2020-09-01,F,1,69,0,53,34,59,27
2020-09-01,F,2,18,0,13,13,22,11
2020-09-01,G,1,23,0,32,50,38,12
2020-09-01,G,2,0,0,10,23,9,3
2020-09-01,JZ,1,28,1,26,29,20,26
2020-09-01,JZ,2,10,0,6,13,5,7
2020-09-01,L,1,34,1,35,2,23,13
2020-09-01,L,2,1,0,10,1,3,7
2020-09-01,M,1,37,1,24,29,9,16
2020-09-01,M,2,1,0,2,0,1,1
2020-09-01,N,1,87,0,66,99,67,41
2020-09-01,N,2,10,3,22,32,18,11
2020-09-01,Q,1,35,0,28,58,25,32
2020-09-01,Q,2,13,2,11,24,12,17
2020-09-01,R,1,58,0,25,44,18,17
2020-09-01,R,2,10,0,10,11,10,10
2020-09-01,S 42nd,1,0,0,6,0,5,3
2020-09-01,S Fkln,1,0,0,1,0,0,0
2020-09-01,S Fkln,2,0,0,3,0,0,0
2020-09-01,S Rock,1,0,12,2,3,1,0
2020-09-01,S Rock,2,0,8,0,1,0,1
2020-10-01,1,1,55,2,42,18,24,50
2020-10-01,1,2,17,1,13,1,3,12
2020-10-01,2,1,75,5,41,69,43,38
2020-10-01,2,2,13,0,5,36,12,21
2020-10-01,3,1,46,0,13,16,23,32
2020-10-01,3,2,18,0,11,24,22,16
2020-10-01,4,1,80,0,34,23,33,42
2020-10-01,4,2,32,0,14,24,32,17
2020-10-01,5,1,54,3,24,10,21,36
2020-10-01,5,2,1,0,2,5,0,3
2020-10-01,6,1,75,2,33,41,33,44
2020-10-01,6,2,36,1,8,16,10,23
2020-10-01,7,1,60,1,33,15,7,18
2020-10-01,7,2,11,0,8,5,12,5
2020-10-01,A,1,125,44,57,103,42,45
2020-10-01,A,2,19,13,11,19,19,16
2020-10-01,B,1,56,0,29,38,4,13
2020-10-01,C,1,23,1,19,36,2,18
2020-10-01,C,2,8,0,10,14,6,12
2020-10-01,D,1,83,2,44,60,52,31
2020-10-01,D,2,15,0,13,22,6,10
2020-10-01,E,1,44,0,41,73,73,21
2020-10-01,E,2,7,0,5,16,21,8
2020-10-01,F,1,57,1,48,38,58,32
2020-10-01,F,2,9,0,15,13,14,12
2020-10-01,G,1,24,0,21,32,35,10
2020-10-01,G,2,1,0,6,18,11,7
2020-10-01,JZ,1,43,5,25,46,26,18
2020-10-01,JZ,2,8,0,10,15,4,12
2020-10-01,L,1,45,0,19,2,9,11
2020-10-01,L,2,5,1,8,0,2,2
2020-10-01,M,1,43,1,7,16,2,13
2020-10-01,M,2,1,0,0,2,1,2
2020-10-01,N,1,110,3,72,98,72,46
2020-10-01,N,2,13,1,32,34,17,15
2020-10-01,Q,1,54,2,33,24,9,23
2020-10-01,Q,2,8,0,8,22,7,15
2020-10-01,R,1,80,0,19,41,3,31
2020-10-01,R,2,8,0,7,12,7,7
2020-10-01,S 42nd,1,0,0,0,0,12,1
2020-10-01,S 42nd,2,0,0,1,0,0,0
2020-10-01,S Fkln,1,0,0,1,0,1,0
2020-10-01,S Rock,1,0,14,3,3,2,1
2020-10-01,S Rock,2,0,4,0,0,0,0
2020-11-01,1,1,53,2,25,8,13,39
2020-11-01,1,2,46,0,9,3,2,10
2020-11-01,2,1,69,1,40,57,26,51
2020-11-01,2,2,29,3,18,50,17,27
2020-11-01,3,1,39,2,18,16,9,18
2020-11-01,3,2,36,0,13,31,17,12
2020-11-01,4,1,53,2,25,23,28,30
2020-11-01,4,2,54,1,10,40,16,23
2020-11-01,5,1,46,3,29,11,26,37
2020-11-01,5,2,3,0,5,21,7,11
2020-11-01,6,1,45,3,46,50,32,71
2020-11-01,6,2,68,0,8,18,8,22
2020-11-01,7,1,30,3,40,7,9,21
2020-11-01,7,2,27,1,9,4,8,7
2020-11-01,A,1,123,46,46,106,29,43
2020-11-01,A,2,28,18,27,31,14,14
2020-11-01,B,1,70,1,19,31,6,19
2020-11-01,C,1,24,2,18,32,3,12
2020-11-01,C,2,26,0,1,17,2,5
2020-11-01,D,1,62,3,37,48,34,29
2020-11-01,D,2,28,0,16,40,16,10
2020-11-01,E,1,25,1,36,39,40,22
2020-11-01,E,2,26,0,9,8,13,7
2020-11-01,F,1,50,0,45,35,43,20
2020-11-01,F,2,38,0,9,9,14,6
2020-11-01,G,1,30,1,25,46,21,6
2020-11-01,G,2,5,0,6,32,15,9
2020-11-01,JZ,1,31,1,19,44,17,19
2020-11-01,JZ,2,14,2,6,17,2,12
2020-11-01,L,1,30,1,18,2,20,18
2020-11-01,L,2,25,2,9,0,0,4
2020-11-01,M,1,43,2,11,24,3,11
2020-11-01,M,2,0,0,1,2,0,2
2020-11-01,N,1,118,0,72,56,36,46
2020-11-01,N,2,41,0,15,20,17,16
2020-11-01,Q,1,85,0,36,30,15,17
2020-11-01,Q,2,32,2,15,17,8,16
2020-11-01,R,1,69,0,19,33,17,31
2020-11-01,R,2,17,0,9,10,5,9
2020-11-01,S 42nd,1,0,0,4,0,0,3
2020-11-01,S 42nd,2,0,0,1,0,0,0
2020-11-01,S Fkln,1,0,0,2,0,3,1
2020-11-01,S Fkln,2,1,0,1,0,1,0
2020-11-01,S Rock,1,0,6,7,1,2,1
2020-11-01,S Rock,2,0,6,1,0,2,0
2020-12-01,1,1,138,2,38,16,13,53
2020-12-01,1,2,29,1,15,3,1,21
2020-12-01,2,1,125,3,41,57,27,51
2020-12-01,2,2,40,1,12,33,9,18
2020-12-01,3,1,94,1,15,24,9,36
2020-12-01,3,2,16,0,9,23,6,10
2020-12-01,4,1,123,3,36,16,20,45
2020-12-01,4,2,30,0,12,19,18,27
2020-12-01,5,1,111,4,16,14,21,39
2020-12-01,5,2,28,4,15,25,7,14
2020-12-01,6,1,126,2,51,48,36,96
2020-12-01,6,2,31,0,15,12,10,24
2020-12-01,7,1,100,4,50,6,13,13
2020-12-01,7,2,26,1,8,0,11,8
2020-12-01,A,1,96,52,65,89,39,41
2020-12-01,A,2,11,8,18,27,11,23
2020-12-01,B,1,59,0,34,38,5,26
2020-12-01,C,1,17,1,20,14,0,17
2020-12-01,C,2,4,1,5,19,0,3
2020-12-01,D,1,75,2,30,49,48,34
2020-12-01,D,2,7,0,10,38,14,14
2020-12-01,E,1,38,0,36,43,30,28
2020-12-01,E,2,3,0,10,8,6,2
2020-12-01,F,1,46,0,44,27,38,36
2020-12-01,F,2,5,1,13,13,10,7
2020-12-01,G,1,27,1,25,44,33,12
2020-12-01,G,2,8,0,5,26,9,7
2020-12-01,JZ,1,30,1,24,40,18,30
2020-12-01,JZ,2,5,1,14,15,7,19
2020-12-01,L,1,18,1,27,5,24,29
2020-12-01,L,2,3,0,5,0,4,12
2020-12-01,M,1,26,2,10,27,4,11
2020-12-01,M,2,0,0,0,1,0,1
2020-12-01,N,1,97,3,78,52,45,38
2020-12-01,N,2,9,2,23,25,18,11
2020-12-01,Q,1,72,4,58,43,14,32
2020-12-01,Q,2,13,4,18,31,13,19
2020-12-01,R,1,45,2,20,29,30,29
2020-12-01,R,2,11,0,11,7,7,14
2020-12-01,S 42nd,1,1,0,4,0,0,3
2020-12-01,S 42nd,2,0,0,0,0,0,1
2020-12-01,S Fkln,1,0,1,0,0,0,0
2020-12-01,S Rock,1,1,8,6,2,0,1
2020-12-01,S Rock,2,1,2,5,0,0,0
2021-01-01,1,1,78,2,29,31,39,44
2021-01-01,1,2,42,1,5,3,2,17
2021-01-01,2,1,59,1,30,73,19,40
2021-01-01,2,2,47,1,22,57,21,29
2021-01-01,3,1,58,1,18,21,13,21
2021-01-01,3,2,26,0,9,47,15,22
2021-01-01,4,1,47,2,32,22,22,48
2021-01-01,4,2,49,4,15,21,10,17
2021-01-01,5,1,55,0,25,16,19,37
2021-01-01,5,2,16,0,7,34,6,14
2021-01-01,6,1,62,2,48,35,23,71
2021-01-01,6,2,55,1,9,21,7,26
2021-01-01,7,1,55,0,34,4,6,14
2021-01-01,7,2,15,0,7,1,7,7
2021-01-01,A,1,37,34,59,94,29,51
2021-01-01,A,2,32,9,25,26,18,29
2021-01-01,B,1,26,0,24,35,4,18
2021-01-01,C,1,6,0,17,24,4,17
2021-01-01,C,2,18,0,7,12,5,13
2021-01-01,D,1,27,2,38,51,28,26
2021-01-01,D,2,12,0,20,25,9,8
